Model,Rank,PPL,Trainable Params,Total Params,Params %
Baseline,0,68.46392165044175,0,81912576,0.0
Full FT,0,25.806270476431628,81912576,81912576,100.0
LoRA,16,49.03555759138223,294912,82207488,0.35874104315168953
LoRA Ablation,1,53.22867291108423,18432,81931008,0.02249697696871983
LoRA Ablation,8,53.573078581872906,147456,82060032,0.17969283755580304
LoRA Ablation,64,53.52778616922769,1179648,83092224,1.4196851922028226
